name,company,year,Price,kms_driven,fuel_type
Indigo cs,Tata,2016,110000,85000,Diesel
Duster,Renault,2013,490000,38600,Diesel
Scorpio,Mahindra,2009,320000,95500,Diesel
Zen,Maruti,2004,68000,56000,Petrol
Wagon R,Maruti,2014,130000,37458,Petrol
SX4,Maruti,2016,970000,85960,Diesel
A3,Audi,2015,3100000,12516,Petrol
Eon,Hyundai,2018,280000,35000,Petrol
Zen Estilo,Maruti,2009,125000,0,Petrol
Scorpio,Mahindra,2008,285000,80000,Diesel
Santro,Hyundai,2011,165000,45000,Petrol
Swift Dzire Tour,Maruti,2009,250000,51000,Diesel
Xylo,Mahindra,2011,390000,48000,Diesel
Santro,Hyundai,2003,60000,51000,Petrol
Beat,Chevrolet,2015,215000,90000,Diesel
Swift Dzire,Maruti,2015,475000,43000,Diesel
XUV500,Mahindra,2015,899000,53000,Diesel
Fortuner,Toyota,2013,1499000,97000,Diesel
Alto K10,Maruti,2013,240000,20000,Petrol
Getz,Hyundai,2007,99000,55000,Petrol
Swift Dzire Tour,Maruti,2014,260000,120000,Diesel
Creta,Hyundai,2019,1200000,0,Petrol
Santro,Hyundai,2007,115000,46000,Petrol
Santro,Hyundai,2009,88000,43200,Petrol
Xylo,Mahindra,2011,390000,56000,Diesel
Santro,Hyundai,2007,135000,42000,Petrol
Indica v2,Tata,2009,90000,30600,Diesel
i10,Hyundai,2011,220000,38000,Petrol
Grand i10,Hyundai,2017,424999,2550,Petrol
Santro,Hyundai,2007,135000,47000,Petrol
City,Honda,2005,95000,41000,Petrol
Micra,Nissan,2017,430000,62500,Diesel
City,Honda,2005,115000,68000,Petrol
Alto 800,Maruti,2015,215000,50000,Petrol
Wagon R,Maruti,2004,53000,69000,Petrol
Ertiga,Maruti,2012,500000,48000,Diesel
Indica ev2,Tata,2012,85000,55000,Diesel
Omni,Maruti,2013,165000,25000,Petrol
Eon,Hyundai,2014,200000,28400,Petrol
Eon,Hyundai,2014,200000,28000,Petrol
Swift,Maruti,2015,425000,42000,Diesel
Verna,Hyundai,2012,600000,29000,Diesel
Tavera,Chevrolet,2005,130000,68485,Diesel
Tiago,Tata,2018,430000,3500,Petrol
Tiago,Tata,2019,568500,0,Petrol
Zen,Maruti,2006,71000,32000,Petrol
KUV100,Mahindra,2018,560000,8000,Diesel
EcoSport,Ford,2014,590000,34000,Diesel
Ambassador,Hindustan,1995,750000,37000,Petrol
Fusion,Ford,2007,125000,85455,Diesel
Santro,Hyundai,2007,135000,46000,Petrol
Santro,Hyundai,2002,60000,47000,Petrol
Linea,Fiat,2009,120000,64000,Petrol
Ikon,Ford,2008,95000,46000,Petrol
Omni,Maruti,2017,240000,8000,Petrol
Indica v2,Tata,2012,115000,64000,Diesel
Scorpio,Mahindra,2015,795000,63000,Diesel
Santro,Hyundai,2007,55000,65000,Petrol
Xylo,Mahindra,2009,300000,62000,Diesel
Grand i10,Hyundai,2014,320000,41000,Petrol
Alto 800,Maruti,2015,265000,14000,Petrol
Corolla,Toyota,2006,160000,40000,Petrol
Eon,Hyundai,2017,300000,1600,Petrol
Sumo Grande,Tata,2010,130000,90000,Diesel
Swift,Maruti,2011,250000,58000,Diesel
Polo,Volkswagen,2013,380000,27000,Petrol
Alto 800,Maruti,2003,42000,60000,Petrol
Tiago,Tata,2017,400000,31000,Petrol
Swift,Maruti,2009,120000,90000,Diesel
Swift,Maruti,2009,120000,90000,Diesel
Indigo ecs,Tata,2016,130000,150000,Diesel
Beat,Chevrolet,2014,189000,31000,Diesel
Xylo,Mahindra,2011,365000,43000,Diesel
Eon,Hyundai,2013,170000,20000,Petrol
Sumo Gold,Tata,2013,215000,100000,Petrol
Nano,Tata,2013,60000,7000,Petrol
Elite i20,Hyundai,2017,599999,31000,Petrol
i10,Hyundai,2009,400000,33000,Petrol
Creta,Hyundai,2016,900000,60000,Diesel
Polo,Volkswagen,2013,299999,48000,Diesel
Swift Dzire,Maruti,2014,374999,33000,Petrol
Bolt,Tata,2015,600000,15000,Petrol
Alto 800,Maruti,2005,70000,47000,Petrol
Alto,Maruti,2005,100000,40000,Petrol
Ritz,Maruti,2010,150000,38000,Diesel
Alto 800,Maruti,2017,225000,12500,Petrol
Swift Dzire,Maruti,2009,210000,42000,Petrol
i20,Hyundai,2014,425000,31000,Petrol
Swift,Maruti,2008,162000,60000,Diesel
Indica v2,Tata,2005,60000,80000,Diesel
Scorpio,Mahindra,2014,650000,77000,Diesel
Innova,Toyota,2012,750000,75000,Diesel
Xylo,Mahindra,2010,375000,40000,Diesel
i20,Hyundai,2011,230000,47000,Petrol
Omni,Maruti,2000,35999,60000,Petrol
KUV100,Mahindra,2016,380000,26500,Petrol
KUV100,Mahindra,2019,560000,2875,Petrol
Go Plus,Datsun,2016,285000,13900,Petrol
Endeavor,Ford,2019,2900000,9000,Diesel
Indica v2,Tata,2005,39999,80000,Diesel
Santro,Hyundai,2006,85000,60000,Petrol
Wagon R,Maruti,2016,395000,20000,Petrol
Swift,Maruti,2008,175000,58000,Diesel
Alto 800,Maruti,2019,400000,1500,Petrol
Innova,Toyota,2011,750000,75000,Diesel
Alto 800,Maruti,2016,250000,2450,Petrol
Alto,Maruti,2019,425000,1625,Petrol
Polo,Volkswagen,2017,525000,45000,Petrol
Logan,Mahindra,2009,130000,65000,Diesel
Maruti 800,Maruti,2000,30000,33400,Petrol
Scorpio,Mahindra,2011,475000,60123,Diesel
Sail,Chevrolet,2013,300000,28000,Petrol
Santro,Hyundai,2003,60000,70000,Petrol
Wagon R,Maruti,2006,100000,7000,Petrol
Eon,Hyundai,2018,260000,25000,Petrol
Indigo Manza,Tata,2015,100000,100000,Diesel
Etios,Toyota,2013,265000,42000,Petrol
Qualis,Toyota,2003,180000,100000,Diesel
Santro,Hyundai,2004,45000,137495,Petrol
Indica ev2,Tata,2016,50500,91200,Diesel
City,Honda,2009,270000,55000,Petrol
Zest,Tata,2017,290000,120000,Diesel
Quanto,Mahindra,2013,325000,63000,Diesel
Indigo ecs,Tata,2016,160000,104000,Diesel
Swift Dzire,Maruti,2016,350000,146000,Diesel
Elite i20,Hyundai,2011,290000,40000,Petrol
i20,Hyundai,2011,290000,40000,Petrol
Tavera Neo,Chevrolet,2007,465000,100800,Diesel
Swift Dzire,Maruti,2016,325000,150000,Diesel
Elite i20,Hyundai,2018,510000,2100,Petrol
City,Honda,2016,860000,95000,Petrol
Swift Dzire,Maruti,2016,450000,2500,Diesel
Getz,Hyundai,2006,125000,80000,Petrol
C Class,Mercedes,2006,500001,15000,Petrol
Alto,Maruti,2005,95000,65000,Petrol
Fabia,Skoda,2009,110000,45000,Petrol
Ritz,Maruti,2011,270000,50000,Petrol
Indica v2,Tata,2009,110000,30000,Diesel
Corolla Altis,Toyota,2009,300000,132000,Petrol
Zest,Tata,2018,260000,27000,Diesel
Quanto,Mahindra,2013,390000,40000,Diesel
